,answer
96,"看到好多学生在回答问题，想当年，我也是个刻苦努力的好孩子，很怀念上学的时光。
我现在是家庭主妇，哈哈，跟婆婆一起在家里带孩子，每天生活都是一样的，不过看到孩子一天天长大，每天都有变化，也是很开心滴啦！
八个月了，除了做月子，我每天的作息基本如下：
孩子起床 ～洗脸换尿布～跟我妈妈视频
孩子跟奶奶出去玩～妈妈吃早餐～准备宝宝辅食
奶奶喂宝宝吃饭～妈妈收拾厨房
宝宝吃饱饱～陪玩
上午宝宝小睡～喂奶 哄睡～宝宝睡觉，妈妈自由时间，玩玩手机
中午妈妈奶奶换班吃饭～准备辅食～陪玩～哄睡
下午奶奶做饭～妈妈推出去玩
吃过晚饭之后～准备宝宝辅食～给宝宝洗澡～哄睡
基本上同样的事情一直在重复，有时候在家太闷了会带孩子去商场逛逛，周末会一家三口出去吃吃饭，逛逛街
哦，对了，不要以为我晚上可以好好休息一下啊，我一直是母乳，宝宝夜奶比较难断，所以，小妞半夜想吃奶了，会来抓我的衣服，困的不行了，也要伺候我的小祖宗。
我闺女很好动，一天天没有停下来的时候，一天到晚折腾的蛮累的，哈哈，不过即使这样，我还是很享受这样的日子，看见女儿跟我亲近的样子，真的超级幸福。
我以前属于那种超级能睡的人，起床气特别大，生了孩子之后，哈哈，睡眠根本不行啊。"
97,"目前高三狗，住宿的高三狗！
每天六点半准时被学校的广播吵醒，挣扎到广播变成新闻，挣扎到舍友陆陆续续出门，六点五十左右起床，因为那时候起床洗漱和上厕所不挤！
七点十分左右去食堂吃早饭，七点二十到班级。七点三十到十一点四十上课。
二十分钟留在教室或休息或自习，十二点左右去食堂午饭，那时候也不拥挤。
十二点半左右回宿舍，整理一下，或躺床上玩会手机，一点左右开始午休。两点清醒，过五分钟起床。
两点半到五点十分上课。五点半晚饭，回教室自习。
七点正式自习至十点二十。
悠闲的回宿舍排队洗澡洗衣服，十二点左右洗完。
躺床上玩会手机，十二点二十左右入睡。
为了日后能把365天天天过得不一样，所以现在甘愿把一天重复过365遍。"
98,"一个高一的妹子
大概就是早上六点钟亮灯 六点十五起床 六点四十到操场跑操（宿舍在七楼加上洗漱时间） 跑完大概六点五十五的样子去食堂吃饭或者买其他东西吃七点十五到教室
七点二十至七点半读书
七点半到十二点十分学习时间之后午休加上洗衣服洗头发什么的
两点二十五至六点上课
六点至六点半吃饭
六点半至七点零五写作业或者听班主任讲一些事
七点零五到十点晚自习
十点下晚自习之后到宿舍洗漱差不多躺床上十一点"
99,"大二学生。
工作日：早上一二节有课的话，基本是6:15左右起床，洗漱后等舍友一起出门，然后就是吃早饭→走十几分钟的路去上课→放学，午饭→下午有课，不午睡，吃完饭回宿舍坐一会儿，然后再去上课/下午没课，一般计划睡一小时，再起来写作业、看书，但通常一觉醒来已是天黑→晚上有课（6点开始，早的话七点多下课，晚则九点，不同的课，同时取决于老师的心情），去教室的路上顺便吃晚饭，上课，放学，回宿舍，玩很久的手机，睡觉/晚上没课，晚饭，看剧，玩手机，睡觉。
周末：7:00-8:30 起床，早饭后一般会动手打扫一下宿舍地板→对付一周的作业→11:30-12:00 午饭→午睡→继续没做完的作业/玩手机，看剧→晚饭→玩手机，看剧→最晚12:30睡觉。
其中，除了上课和睡觉，玩手机时间最长。
看了好多人的答案，之后把我日常捋了一遍，决定奉献我的首答。不管每个人的生活再怎么不同，也都有意无意地遵循着一个固定的模式，可怕的的是，我发现在我的模式里，我把大把大把时间都用在一些琐碎的、从长久看无益的事情上，比如玩手机、看剧、睡很久的午觉，而生命一天一天在减少。经常在想，我这一天什么有趣的事情都没干，而一天就这样过去了，接着第二天再重复这样的生活，继续这样的困惑。
其实除了上述日常，我也做了别的事，像早晨起来背托福单词，睡前花大约一个小时阅读，玩电脑时顺便看英语短视频练听力，闲坐的时候研究养花、布艺、构思怎样装饰自己的生活空间。但和我花在手机、电视剧等琐事上的时间相比，这些事在我的一天中所占的比例小得可怜。结论是，我的一天几乎是在无趣和无益中度过的。我意识到了这点，所以尝试做些改变。
希望在我老的时候，回首一生，不会发现：“哦，原来我年轻的时候大部分时间是在玩手机啊。”"
100,"六点到七点，孩子醒，和孩子玩一会，起床。
七点到八点，老妈吃过饭，接住孩子，给孩子换衣服，洗脸，喂辅食。我开始洗漱，吃饭，收拾早饭的残局。
八点到十一点，老妈上班，自己带孩子，孩子要吃母乳，睡觉，起来嗨。睡觉期间，我要洗孩子和自己的衣服，拖地。整理前一天玩过的用过的物品，开水煮一下，消毒。
十一点到十二点，老妈下班，接住孩子，我开始洗菜，做饭。
十二点到十三点，吃饭，喂奶，哄孩子睡觉。
十三点到十五点，陪孩子睡觉，老妈休息一会去上班。
十五点到十八点，喂奶，陪孩子嗨，孩子小眯30分钟，期间，要用电饭煲煮粥，准备晚上的菜。
十八点，老妈回家，帮忙看着孩子，我炒菜，热馒头。
十九点到二十点，吃饭，看天气预报，喂辅食，陪玩。
二十点到二十一点，孩子小睡一会，老妈斗会地主，自己抠会手机。
二十一点到二十二点，给孩子换洗，自己换洗，上床，说儿歌，哄睡。
凌晨四点左右，孩子要吃奶，爬起来，喂奶，继续睡。
然后，就是早上新的一天。
死循环。有乐有累。"
101,"大学狗的日常
7点或8点或9点起床 洗漱
然后去买个早饭 跑去上两节课
11点回宿舍打开电脑 顺带买了午饭
12点到5点 打游戏and上课
6点去买晚饭 吃过饭休息一会
7点半到8点半 去操场遛弯
8点半到11点 游戏时间
11点到12点半 看知乎 聊天然后晚安"
102,目前大三 不喜欢说自己是大三狗 大三课少得可怜只有星期二三有课 平时一天中都是差不多7.30就起床 6级没过所以起床背单词看阅读每天大概花30分钟 然后自己煮早餐或者下楼买早餐 吃完早餐就看剧 洗被单 熨衣服 打扫卫生 差不多11.30就下楼买饭 下午2点就上床睡午觉 睡到16点多就起床 看剧看书 17.30自己煮饭菜 偶尔买饮料喝 19点做运动 有氧运动20分钟 然后下楼跑步 20点回宿舍、休息然后洗澡 看剧玩手机睡觉 没课的一天大概是这样
103,"“听一具尸体说，操他妈的生活。”
床帘，坟墓。被埋着的尸体，无意识地行动，一坨行尸走肉。
早晨猛然挺身。闹钟关了一个，还有两个。我数学不好，他们说回笼觉的最佳时长是九分钟。九分钟后掘开坟墓。
晚了，起晚了，这破车蹬出火来也赶不上了。49路可真难等，涂口红可真别那么细致。噢，裤子湿了，下雨了。嗯，我出门是打了伞的。打了就没关系的。
老师，早上好。嗯，你也好。瞧你这大脸盘子，可真暖和。
结了结了可算是完了。一百五的红包心满意足，好似那肚子再咕咕它也不算事儿。啧，您瞧。这雨下的，管它是一坨一块还是一堆，都成了一滩。哟，可不嘛。
妞儿啊，几点了。十一点零六啦。快十二点了，得，收摊儿不卖了！这四舍五入地怪别致。一贯当伪装工具使的手机，原来也怪实用。乃们命根儿似的手机，还不过是个表。妞儿啊，辣椒要么送你点儿？我哈哈笑。
吃啥吃啥到底吃啥。刚刚的辣椒确实得要点儿，好吃不好吃倒是次要，关键是辣得够劲儿。再不济，当摆设也是美得开心。人间烟火我可吃不得，忒俗。略略。
破街 有无？无无无无。爱咋咋地。骨碌一个白眼您不也瞧不见嘛嘿。小破车七拐八拐地骑。您笑啥呢。我的脚还就是够不着地了咋的了吧。呸你。
呦操他妈的太累了，眯眯眼睡着了都。不写了。您说我嘴巴脏？我也觉得。改还不行嘛。今儿的事儿，明儿就忘。说不完的话可多着呢。先溜。再您妈的见。
2019年9月16日，凌晨一点，记"
104,"毕业两年，换了三份工作。先是忍受不了银行的压力辞职去了外企，后来又因为跟男朋友在一起，为了以后打算换了一座生活成本较低的城市重新开始生活。现在在某沿海城市一家央企子公司搬砖。入职不到一个月，正处在学习阶段。有时会怀念之前外企闲散怠惰的时光和高薪，只能告诉自己，自己选的路跪着也要走下去。
每天7:00闹钟响，摁死再睡十分钟后起床洗漱化妆。
7:40出门，买早餐在车上吃，一般最晚7:55就能到单位。
8:00之前刷脸打卡上班
上班第一件事是去上个厕所，回来开始一天的工作。
我在单位核心部门，负责单位具体的业务，所以基本上忙起来时间过的飞快。作为一个菜鸟，经常犯错，时常懵逼，常常沙雕。还好心态放的宽，尴尬难过都不超过十分钟。
中午11:50，跟小伙伴去食堂吃饭。
吃完饭回工位玩会手机，眯一会，就到了1:00
下午的工作又开始了。部门除了新来的三个公开招聘的菜鸟（包括我），其他人都是关系户，学历最低的是中专。有时候扪心自问，自己上那么多年学，到最后还不是要叫这些人师傅吗？总觉得自己从大城市回来，之前的履历也不算难看，怎么就到了这么一个地步，毕业了两年，还是要从头再来。
但要说后悔吗，也不至于，毕竟我现在也还没有太惨。生活总是一次次把我扒光又扔进浩瀚烟海，而我总是自满于侥幸抓住的浮木花纹也还不错。
话再说回来，下午5:00一过，前辈们一跃而起去赶班车。我会等男朋友来接我再下班，但除非月底，也不会加班的。
晚上去附近大学食堂吃个饭，溜达溜达，有时去看个电影，有时也去逛逛商城，然后就回家了，10:30之前关灯睡觉。
这就是我的一天，无所谓轰轰烈烈，也没什么花前月下。时间久了，我们都会明白一个道理，活着就是活着，不要思考，不要后悔，因为都是无用的。只要活着，就是真正的奥义。"
105,"大二废狗一只
回想这个刚过去的学期，与以往的不同在于，玩着一个很费时间的网游

周一到周五：
6:40
起床下楼盖个早操章，回来接着睡
7:20
起床，和室友一起去教室，路上买早餐，进教室前解决（其实不饿，以前也不吃早餐，但室友吃我也会跟着买，每天多摄入的能量可能就在这了
8:00
上课了，总是一节比较难的课，生理或者病理。我总是很没意志地打开游戏，感觉玩一会儿怎么就下课了，然后换教室
10:10
又上课，我通常接着打游戏，就该吃午饭了
12:00
和饭友去食堂，随便吃点。经常没有吃得很舒服，总觉得是为了陪人，自己其实不满意
1:00
午觉，起床特别痛苦，挣扎着去上下午的课
2:00
上课，这时候我总觉得自己起了午觉真是太不容易了，都到教室了，让自己轻松一会吧，然后打开游戏
4:10
上课，继续玩游戏
6:00
下课了，终于可以放松咯
一边吃饭一边玩，回寝室更放松地玩，放开了玩
当我再从屏幕里抬起头的时候，
时间指向23:55
室友已经都睡了，或者都爬上床准备睡了。开始考虑洗漱。
00:30
我解决好游戏里的问题，跟好友说完再见，终于关掉游戏，洗漱
爬上床，我闭上眼睛，心里空落落的，是种玄乎的感觉，但是已经很晚了，今天先睡吧
6:30
万般无奈地起床
今天怎么这么辛苦，啊，好像有些烦心的事需要解决，但是我都这么不辞辛苦地早起还来了教室，先放松一会吧。
打开游戏
一天过去
心里真的很虚
可是好晚了，明天再说吧
周而复始



............................
周末更不必说
周五晚上：太好了终于能安心玩游戏了
周六：9:00多能起来，然后安心地打开游戏，（今天是休息日，可以正当地玩游戏啦）
通常再抬眼是晚上23:55
寝室又黑了
又只有我还没爬上床了
洗漱
睡，放心大睡
周天：起床接着玩
晚上，这周的脏衣服也没洗，该洗澡了也没去
唉，明天去吧
今天太晚了
周一：啊，没有衣服穿了，万般不愿地抽出原本的游戏时间去处理日常
上课：都洗了衣服了，这会儿就让我玩会吧
周而复始
恶性循环
一拖再拖
心里越发地玄
与愧疚
继续用游戏来逃避，毕竟
一打开游戏
我就短暂地忘记了一切的烦恼
生命是如此的快乐
我是多么的想继续下去
而不是
看一切都无所谓
也看不到
未来

以上为
一只废狗如何度过颓靡的时光
以及，结局自然惨烈"
106,"婚两年，孕中，休产假…无聊的来看大家每天都是怎么过得，因为觉得自己每天实在太无聊了，觉得生活似乎没有趣味性，也没有自由…
6.20准点醒，头一天有安排就会立刻起来，没有安排就赖到7点
7.00-8.00洗漱 墨迹 晒衣服 浇花 喝水
9.00-10.00外出吃早餐，或者在家做
10.00-11.30在家玩手机 看电视 看书 或者外出闲逛 逗别人小孩
11.30-12.30在公公婆婆家或者自己娘家吃饭
13.00-15.00回家睡午觉
15.00-17.30醒来玩手机 玩电脑 看电视 看书
17.30-18.30在公公婆婆家或者自己娘家吃饭
19.00-不定 外出散步锻炼和父母或朋友同事
21.00-22.00洗澡 收拾衣物 看电视
22.00-23.00吃宵夜（不一定）
23.30睡觉
我对很多东西有兴趣，但仍然觉得人生实在无聊，是因为没有钱吗？跟老公确实工资不高，但是有车有房无欠款，不用自己做饭， 日常开销就是买零食买水果买衣服……
所以怎么才能觉得人生有意义呢？"
107,"这个答案是给将来的自己看的
希望以后没有后悔年轻时怎么虚度了光阴
九点起床，赶路上班
十点左右到达，部分新场地在装修，注意一点装修师傅，有些不必要的损失会减少。
部分装修材料还没有到，导致工期延后，打客服电话用处不大，打打太极，让自己保持好心态最重要吧
同时考虑下补货，准备下午去问同行拿点过来用一下，试用下。
师傅和我讲，他没装过这种灯，在我的吹牛拍马之下，他说我试试吧(最后还是装完了，很成功)
同时办公，不打码了，你肯定不认识这是谁，不断联系这头和那头，头，越来越大。
装那个灯，全程参与。。。
准备去和朋友谈谈人生，咳咳，是去谈谈有没有合作空间，顺便拿几把琴来
路上发现，没油了，去加油
还行，20公里并不算远，不过累计开了40分钟
一边和朋友谈东西，一边吃午饭，还要安排部分学生的第一节课时安排
回去路上也接到电话安排课时的，毕竟过完年嘛，第一节课是要商量
一回去之后又是几件事一起开工，一个人当三五人使，充实，太充实了
部分日常办公我就不发了，涉及到很多人
当然也有学生老师下课后找我聊天，我一边做这事，一边和他们开着玩笑，生活就要丰富多彩(又是一个人分裂成几个人使唤)
很多事理顺了，放松下，扫个地
继续看着装修，别又和效果图有出入

部分比较急的材料终于到了，没错，隔音棉，它过来后，需要放置很长时间才能用
休息下，喝杯水，继续办公

部分学生要求调整课时
少不了扶持一下好朋友，也属于日常办公吧
emmm效果不好，重新修改
灯也不争气，坏了，买灯中
继续排课
当然，也试了下拿过来的琴。
工作日常，
有时候对象问我
以后娃谁来带？我工作忙
我马上说，我来带！我闲
过阵子，
觉得我对家付出太少，整天不知道忙什么，还挣不了什么钱。
我不想为自己做辩解，我需要的是不断去努力。

当然也要放松下的，下班后回家不定时打会游戏，欢迎老铁们关注一下我哔哩哔哩直播间，房间号8131434！(纯洁笑)"
108,我的一天是从晚上开始的，21到凌晨3，4点喝酒吹牛逼，看书到9点，睡觉以此循环，没钱了除外
109,"9：00醒了，还能磨蹭10分钟；
9：10赶紧爬起来，洗漱，穿衣服（研二实习时，这个时间段还擦个BB，毕业5个月以后，已经纯素颜上班了）；
9：30出门，等公交，来了——
9：50到公交站了，过了路口赶紧打上卡；
10：00-12：00搬砖…搬砖…大厅那边产品经理挺高，有主了么…那边那些程序猿们都有主了么…算了算了…反正我也没啥兴趣…反正我有兴趣，人家也不会有兴趣……
12：00哈哈哈哈终于可以结伴出去吃午饭啦！吃啥呢——
13：00趴在桌子上睡一觉；
13：50起来搬砖…奈斯…搬砖…奈斯…打架…搬砖…奈斯……
18：30天啊撸！终于可以吃饭了！好多肉！！！都是肉！！！吃肉！！！遇见大boss，问我，你怎么吃的比我还多？不胖的秘诀是什么？不消化么？我想着，啊——啊——大概吧，消化了长身体了吧！
19：00扯扯皮……
19：30加班…搬砖…纯搬砖…
21：00同事说，晚上9点之前能不能交日报决定了你能不能有男女朋友——我，呵呵呵，我的心早就不会疼了，老铁
21：30公交
22：00进家…百合花的香味真棒！换个五六七八身衣服看看，对着镜子自我欣赏一下～看不够～嗯我还挺好看的～哈哈哈～噗……
22：40洗澡，爬到床上看三生三世十里桃花，开始胡思乱想，什么时候能有个男朋友啊…穿红衣服的男孩子真好看…百合花儿都开了换换水…看看淘宝……好久没逛知乎了……烧点水喝……
24：00开始睡吧…"
110,"十天前，十一月七号，好像下了一点小雨，我记得不太清楚了。
那天是星期二。
下班之后，我如常去菜市场买了菜，好准备第二天的午饭，一路上好像都没有和清源说话，大家相顾无言的回到家，机械化一样开始煮饭，摘菜，洗碗，显得有条不紊，好像是已经规定好的谁做什么，谁不做什么。
厨房里的抽油烟机布满了污垢，时不时的从漏网里流出油，滴在燃气灶里，滴答滴答滴答，像是在倒数着时间。窗外是学校，不过很少看到学生在里面走动，偶尔会有人在里面散步或者约会，学校里有一处湖泊，在隐蔽的地方养了一些白天鹅和黑天鹅，这里很适合居住。
一般做饭的都是我，尽管做的不好吃，她们也只能勉强接受，有时候我会突发奇想做点什么新鲜的菜品，往往都以失败告终，比如菌子和西蓝花，木耳和四季豆，我想了一个菜名—婚姻的真谛。
用完厨房后，往往整个屋子里都弥漫着一股挥之不散的油烟味，就好像上完厕所之后必定会留下一股臭不可闻的味道一样，不留下点气味不能彰显自己的主权，这个时候只能把所有的窗户都打开，任凭窗外的冷风吹进来，下雨后的风尤为清冷，风里面带着一股萧瑟，落寞的味道，就像是七点钟的路灯，昏暗的晕染在街面上，回家的车停在十字路口，等待着下一个绿灯。我时常会站在窗口看外面的车流和走在路上的人，想着那个步履匆忙的男人是回家还是去见他的情人，那辆白色的车里一个妈妈在和女儿说笑，拐角的地方有一群人在吵架，一个男人拿着手机在拍着什么，我看了许久。
天逐渐黑了下来，冬天的晚上总是来很早，不到七点钟就黑了夜，常常吃过饭就窝在被子里，窝着看白天没有看完的剧，时不时会有学生的笑声透过窗户，钻进耳朵里，她们要下课了。楼下是一个美术学校上课的地方，经常早上出门的时候她们已经在画画了，很稚嫩的脸在认真的画着，偶尔周末也会在巷子里遇到她们三五成群的准备出去玩，这样的生活已经离我很远。吵吵嚷嚷到十一二点，她们宿舍的声音才会慢慢安静下来。
一盏盏的灯熄灭，在晚上昏黄的光总是很有吸引力，显得那么温暖，让人想靠近。静下来了，灯也灭了，路上的车声也小了很多，我慢慢闭上眼睛，眼皮很沉，很沉，像是沉到了水里，咚，一片黑暗。"
111,"1 .早晨6:45起床，洗漱，把早餐热上。
2.7:00-7:30:化妆，吃饭，准备出门。
3.7:30-8:30 坐车,车上听书。
4. 8:30-19:30 没错，一般都得加班到这个点。
5.19:30-20:30 坐车，娱乐，刷知乎。
6. 20:30-22:00 跑步半小时，读书半小时，家务半小时。
7.22:00 准备入睡。
生活很累很充实，希望还可以少睡会觉，多读书，对写作。"
112,"高一的小女生
自从住校后，感觉时间是一个星期为单位，
真的很快
高中生活不我是两个月前想像的那样
很快，很平淡
每天根据第二天的事多不多来定点起床，室友都和我一样，差不多6.15就去吃早饭，有时会晚
室友很贴心，以前我会很担心这个，我经常因为一些小事就患得患失，现在不会了
早饭后到教室就开始自习了，时间感觉很少
然后开始一天的主科课，间操跳着乏味的体操的学校的“智障操”
11.40边快走边和在这个高中认识的好朋友商量吃啥，唉，人有点多，有一次我和她竟然走散了
轻松的时光很快过了，回到教室继续上午，会有化学小考，每次都是去写题，都会有一片哀嚎
有点后悔当初当这个课代表，骑虎难下，但这个flag不能丢
午睡现在已经不说了，写作业....
下午的课很快就过去了
又是晚饭，又是同样
有点不喜欢晚自习，好朋友回家了
室友贴心但是太闹腾
还是那句时间很快
回寝室我一般都是放飞自我
闹过之余，熄灯后就是谈心的时间一般
我的那个他不在这个学校，或许三年我都不会在这动心
高二有个小哥哥 机缘巧合下知道他连小学都是和我一个 每天早上都会碰见他，但。。。打招呼我都会很尴尬
喜欢这个集体，温暖如初"
113,"画画的
12:00起床
12:30吃饭
13:00玩手机
14:00开始洗漱+化妆
15:30看书
17:00出门上课
21:00下班回家
22:00画画创作或者练字
3:00～4:00睡觉"
114,"8：30-12：00
14：30-18：00
19：30-22：00这三个时间段都在实验室看文献，画图，做实验，处理数据。
剩下的时间就睡觉，玩手机，打王者荣耀呀。晚上12点多睡，早上近八点起来(-.-)差不多就这样，一周六天都是如此，还有四年。"
115,"我日常颓废的一天。
周一
早上8:40醒来。
挣扎着起床，洗漱穿衣出门。这个点起来公司早餐应该没有了，带上昨天没有吃完的几片面包，一个西柚上班。
9:40到达公司。
20分钟吃东西，10分钟看看邮件，工作群，10分钟上厕所。
10:30开始开会。
同步每天工作，以及后续计划。
10:50开始工作。
过了最忙的一阵，没什么要紧的任务。把tensorflow装了玩玩吧。
11:20吃水果。
平常都11:00吃水果，今天不太饿。
12:00吃午饭。
13:00午睡。
最近一直睡不醒，一睡就过去半小时。
13:30开始工作。
继续安装一堆依赖库，时不时刷一刷手机，看看知乎。觉得无趣。
15:30吃水果。
17:00Bugfix。
训练模型的时候发现一个代码错误，修复提交。
18:00吃晚饭。
19:00和同事开黑开两局农药。
19:40开始工作。
20:30健身房健身。
练半个小时，洗澡回家。
21:50到家。
刷牙，护肤，整理东西，洗衣服。
22:30躺平。
和女票视频半小时。
23:00玩手机。
23:30睡觉。
结束一天。。"
116,"6:05起床 早操
6:40早饭
8:10——11:50上午不变的4节文化课
12:05中午饭
13:00——14:00午休
14:30——16:25自习
14:30——17:50体能训练
18:00晚饭
19:00——19:30看新闻
19:40——20:30自习或者训练
21:00——22:00洗漱
22:00熄灯睡觉
不要问我怎么坚持下来的，有人会提醒你的，已经第四个年头了"
117,八点醒，洗漱吃早饭，看会电视剧，九点看书，十二点二十去吃饭，看会电视剧，一点二十开始看书，五点半去什么吃饭，看会综艺或者躺一会，七点开始看书，十一点半洗漱，洗漱完看书，十二点半上床，失眠一会，差不多一点半睡着。当然看书的时候还玩会手机。
118,早上6点20分起床 叠被子 洗脸刷牙 梳头发 背起书包去食堂买早餐 拿早餐到教室吃 一边看书一边吃早餐 然后早读 上课 上课 上课 上课 中午去食堂打饭 回宿舍吃饭 吃完饭玩手机 睡午觉 起床 去教室 上课上课上课上课上课 回宿舍 洗澡 洗头发 洗衣服 梳好头发 背书包 去教室拿书去琴房练琴 回教室 晚自习 晚自习 回宿舍 洗脸 刷牙 玩手机 睡觉
119,嗯，作为一个腐朽的大学生，每天就是吃睡乐，连玩都没有（毕竟是在山里的学校），看见你们这些生活在城市里的大学生。心里由衷的羡慕～
120,假期嘛 就每天十点多起床 早上会给自己找点事做做 当然也会一看手机就过去啦 中午吃完饭就在床上躺着当废物咯 躺到三四点就起来背点单词啊啥的 晚上也是这样会看一点剧 综艺看的多一点 每天生活就是很舒服但看起来有点浪费的感觉 答主是比较直的那种 平时一个朋友让我不舒服了 可能就是上去骂的 骂再看态度要不要继续做朋友了 有时候就突然觉得生活真美好 什么事都可以原谅 答主有轻度抑郁 所以有时候会莫名其妙哭出来 也没啥人知道 能自己杠杠就不说出来了 码到这里 今天是等快递的一天
121,早上七点半起床，八点到公司吃个早餐。上午偶尔出去跑个客户，不出去的话就在办公室待一上午，中午十二点食堂吃中饭。然后回家休息，下午三点去办公室上班。下午六点下班，回家吃点东西休息一会。晚上七点去游泳池游泳，九点半回家，刷刷知乎和微博，十一点半睡觉。
122,"暑假，减肥中。暴食症患者，中度抑郁。
起床，上厕所，称体重，轻了很多就开心，没有轻或者只有一点就沮丧得不行，然后考虑早饭吃什么吃多少，有时候节制，吃正常的量就好了，有时候突然吃着吃着就想吃更多，开始考虑要不要暴食，给自己找理由：早上多吃点，下午多做一些运动，可是吃着吃着吃到直不起腰。不行不行，这样运动也运动不了了，然后再吃点，去吐掉。冒起胃酸，啊，喝点水，喝点牛奶吧，吃点水果吧，再吃点…………一不小心又来一轮了。
精疲力尽的坐在房间里玩手机，电脑放着视频，手里玩着消消乐，怎么一下子就精力不够了？我还没过关啊喂。
忍受着饥饿与胃酸的刺激。傍晚要是心情恢复了，就去运动，要是没有恢复，也许就是躲在房间里，或者晚上想尽方法再叫外卖。
要是早餐吃得正常，那么中饭就是水煮菜和鸡蛋白，也挺好吃的，虽然有些寡淡。
下午好无聊，睡不着，也不知道干什么，什么都想做，什么都懒的做，连电影都看不完一部，不想动脑子。
然后傍晚去运动，感觉活过来了。回家，喝点茶。
晚上十一点多睡觉，等待第二天的煎熬。"
123,"一个即将高三的文科狗 我这种人…分分秒秒都是踩点过的…具体如下
6:30起床

期间叠被子 刷牙 洗脸梳头 涂防晒

6:47-48准时下楼
【我们是6:50的门禁 迟出三次就要滚回家 一整个礼拜不许住宿 六次就一整个学年都不许住宿 下学年清空（ps是学年 不是学期）（pps我高二学年刚开学就…两次 不知道怎么撑结束高二的）】
6:50差不多在食堂
6:50-7:05吃完早饭
7:10点名 基本踩点到
【迟到的要扣分 抓去扫地】
然后早上四节课一直到到中午11:50
中午心情不好吃食堂 心情好叫外卖
【其实每天心情都很好…】
拿外卖这个工作…幸运5分钟 不幸50分钟外加跟保安斗智斗勇 被保安骂 上次有个学弟拿外卖不幸被校领导遇见 就滚回家一个礼拜了…
（ps我们学校禁止手机 被抓代管一学年 没有带生管签字班主任签字的请假条不准出入 不住宿要有充分的理由 全班基本上都是住宿的 学校管得还是比较严的 学风也比较好 但是管不住我们叫外卖狂野的心的）
中午我基本上在教室写作业 趴个20分钟睡 我们班级中午在教室读书的人不多 基本上都选择在宿舍吹空调
2:00-5:00 下午三节课

放学后基本上都是点外卖然后在教室吃
我也尝试过在教室吃泡面 毕竟文科班男女是1:5 无所畏惧！！读了一年文科我已经完全忘记自己是个女生了
（我们班也会有比较疯狂学习的午餐晚餐都是水果或者代餐粉，最近我和学姐聊天 才知道每一届都有不少这么痴迷学习的人…）


吃完写作业，当然有同学进教室我会忍不住拉家常

6:30晚自习开始
一三五6:00开始 要做半个小时的听力题
9:30结束
10:40熄灯
中间这段时间我要经历洗澡 洗衣服 刷牙 洗脸
最痛苦的是宿舍八个人只有水槽 迟迟轮不到这段时间是最悲伤的
晚上再讲讲话 磨一磨 基本上11:30前睡
然后再循环一天
等到了高三 一个月回一次家 呵呵
心酸 我30号就要开学了"
124,"这是我在知乎上的第一个回答，原因是我不太会表达自己，就当开始一个锻炼语言组织。
说起日常。在学校就可以不说，就说说假期，不知道是不太适合早上学习，或者早上脑子会比较空洞，通常在早上起床后都是一种颓废的态度（但我不会赖床6-7点就会起床），通常一颓废就是一早上，午饭过后通过一场自己的反思，下午一定要做一件用心的事，不论做什么，毕竟假期就是用来放松心灵和在一个不受拘束的时间里来颓废一下（个人感受，可以有你们不一样的建议，告诉我，我一定会虚心分辨的）"
125,"即将结束的大二医学生（近期内在减肥168cm.56kg.想瘦到50kg）
六点五十起床 去跑步
七点五十回宿舍洗漱，吃饭
八点半开始自习
十一点半中午饭 散步一个小时
一点睡午觉 起床后自习
五六点吃晚饭 自习或出去走走
九点多 去跑步
十点多 洗澡洗刷准备一天的结束阶段了"
126,工作狗一只，早上八点五十五起床，洗漱五分钟。九点整上班，干完第一波活大概十点。下楼买早饭。吃完早饭就坐在单位发呆，看看知乎，看看文章啥的。有活就干活，没活就看手机。手游就一个FGO，下线十小时，上线十分钟。晚上九点下班，洗澡，然后去网吧打打游戏，看看网游物价，倒卖倒卖材料赚点外快。凌晨两点回宿舍，看一个小时动漫，睡觉。
127,"上学的话 1 六点起床刷牙洗脸 2涂抹护肤品 3 叫舍友起床会带局我爱你 4在宿舍等朋友来和我一起去买早餐 5 出宿舍门和姨妈打招呼 6 路上和朋友bb打游戏又被坑 7 7点30早读 看到同桌的脸想给一拳 8 昏昏欲睡 9 12点05放学中午和基友约好打游戏 10 吃饭刷牙睡午觉 11 被学校放的DJ吵醒 12 到教室 昏昏欲睡 13 5点20放学 吃饭 14 19点上晚修 15 10点下课 16 洗澡刷牙 和舍友开车 17半夜三更听到舍友的笑声和呼噜声 睡意全无

无趣的生活"
